place,Rating,Popularity,latitude,longitude,State
 ISKCON Temple Bangalore,4.5,4837.0,15.40417305,75.06941224495768,Karnataka
 Lalbagh Botanical Garden,4.0,6190.0,12.9489367,77.58698687897964,Karnataka
 Wonderla Amusement Park,4.5,4250.0,17.216339599999998,78.52694354065062,Telangana
 UB City,4.5,2802.0,12.9723336,77.59611365584038,Karnataka
 Bannerghatta National Park,4.0,2947.0,12.53290595,77.54619068920488,Karnataka
 Cubbon Park,4.0,2497.0,12.97424405,77.59219502919655,Karnataka
 Visvesvaraya Industrial and Technological Museum,4.5,1766.0,12.97528365,77.59628434047809,Karnataka
 Commercial Street,4.0,1215.0,51.5153811,-0.0719678,England
 Mahatma Gandhi (MG) Road,4.0,1304.0,8.4359959,76.9693809,Kerala
 Phoenix Marketcity,4.5,659.0,18.5620429,73.91666301427271,Maharashtra
 Bull Temple,4.0,819.0,13.3693722,77.6860634,Karnataka
 Bangalore Palace,3.5,1701.0,12.9985954,77.59200860232801,Karnataka
 Malleswaram,4.5,514.0,13.0027353,77.5703253,Karnataka
 Omthara Kala Kuteera,5.0,81.0,13.0366327,77.3215413,Karnataka
 Indian Music Experience Museum,5.0,93.0,12.8918025,77.5835797,Karnataka
 Orion Mall,4.0,566.0,-4.61945345,55.4546745792334,
 Pyramid Valley International,4.0,378.0,12.7000841,77.4939319,Karnataka
 Karnataka Chitrakala Parishat,4.5,217.0,12.9892808,77.58074846081426,Karnataka
 M Chinnaswamy Stadium,4.5,707.0,12.9788243,77.60038607501548,Karnataka
 Shivoham Shiva Temple,3.5,746.0,12.95784015,77.65636716770405,Karnataka
 Basavanagudi,4.5,486.0,12.9417261,77.5755021,Karnataka
 Mantri Square,4.5,212.0,12.99156925,77.57078886504445,Karnataka
 Sankey Tank,4.0,376.0,13.00988795,77.57400429244788,Karnataka
 Ghati Subramanya Temple,4.5,157.0,13.408538,77.5281425,Karnataka
 Dwadasha Jyotirlinga,4.5,85.0,12.8998646,77.50593160851712,Karnataka
 Indira Gandhi Musical Fountain,4.0,232.0,12.98519975,77.5918593563158,Karnataka
 KR Market,4.0,162.0,12.9642064,77.5768931,Karnataka
 St,4.5,244.0,50.0601579,13.83074794209991,Střední Čechy
 Infant Jesus Shrine,4.5,279.0,19.966246,73.82050698566336,Maharashtra
 Big Banyan Tree,3.5,282.0,12.9096173,77.3956405,Karnataka
 Bangalore Central Mall,4.0,178.0,12.9165317,77.5923697,Karnataka
 Ulsoor Lake,3.5,345.0,12.982389099999999,77.61916690529843,Karnataka
 Jagannath Temple,4.5,43.0,28.5533439,77.19996049691177,Delhi
 Jayanagar 4th Block Shopping Complex,4.0,36.0,12.9298201,77.5842754,Karnataka
 St,4.5,174.0,50.0601579,13.83074794209991,Střední Čechy
 Royal Meenakshi Mall,4.0,127.0,12.875805249999999,77.5956096180229,Karnataka
 Kaikondrahalli Lake,4.5,138.0,12.9131869,77.67220207189462,Karnataka
 SPA,4.5,432.0,50.4920654,5.8627569,Liège
